Genus,Species
moták,pochop
drozd,brávník
dudek,chocholatý
luňák,červený
bramborníček,černohlavý
rákosník,pokřovní
orlík,krátkoprstý
jestřáb,lesní
jespák,skvrnitý
pěnice,vlašská
volavka,červená
strakapoud,velký
jespáček,ploskozobý
polák,proužkozobý
strakapoud,bělohřbetý
chřástal,vodní
chřástal,kropenatý
vodouš,kropenatý
křivka,obecná
skorec,vodní
husa,krátkozobá
strnad,viničný
vrána,černá
berneška,velká
straka,obecná
ostružka,severní
kormorán,malý
volavka,bílá
linduška,skalní
racek,tříprstý
linduška,horská
keptuška,stepní
sluka,lesní
krahujec,obecný
dřemlík,tundrový
sýkora,koňadra
konipas,bílý
pěnkava,obecná
pěnkava,jikavec
dlask,tlustozobý
zvonek,zelený
konopka,obecná
stehlík,obecný
zvonohlík,zahradní
budníček,pruhohlavý
čížek,lesní
kulík,hnědokřídlý
racek,Sabinův
moudivláček,lužní
poštolka,rudonohá
sup,bělohlavý
vlaštovka,obecná
ťuhýk,šedý
volavka,stříbřitá
rybák,severní
kachnice,kaštanová
moták,lužní
cvrčilka,slavíková
bukáček,malý
hvízdák,americký
hýl,trubač
rákosník,velký
pelikán,bílý
bekasina,větší
koliha,malá
konipas,horský
sup,hnědý
berneška,tmavá
labuť,zpěvná
zedníček,skalní
hohol,severní
husa,velká
čírka,modrokřídlá
kalous,ušatý
turpan,černý
krkavec,velký
lyskonoh,ploskozobý
lžičák,pestrý
volavka,popelavá
skřivan,polní
králíček,obecný
střízlík,obecný
drozd,zpěvný
drozd,cvrčala
kos,černý
červenka,obecná
rehek,domácí
orel,mořský
buřníček,žlutonohý
jeřáb,popelavý
bažant,obecný
sýkora,uhelníček
sýkora,babka
sýkora,lužní
vrabec,polní
sýkora,modřinka
pěvuška,podhorní
jespák,plavý
husice,rezavá
kulík,písečný
lelek,lesní
ouhorlík,černokřídlý
orel,stepní
cvrčilka,zelená
pěnice,slavíková
lejsek,černohlavý
rehek,zahradní
linduška,lesní
