Genus,Species,Family,Order
moták,pochop,jestřábovití,dravci
drozd,brávník,drozdovití,pěvci
dudek,chocholatý,dudkovití,zoborožci
luňák,červený,jestřábovití,dravci
bramborníček,černohlavý,lejskovití,pěvci
rákosník,pokřovní,rákosníkovití,pěvci
orlík,krátkoprstý,jestřábovití,dravci
jestřáb,lesní,jestřábovití,dravci
jespák,skvrnitý,slukovití,dlouhokřídlí
pěnice,vlašská,pěnicovití,pěvci
volavka,červená,volavkovití,brodiví a pelikáni
strakapoud,velký,datlovití,šplhavci
jespáček,ploskozobý,slukovití,dlouhokřídlí
polák,proužkozobý,kachnovití,vrubozobí
strakapoud,bělohřbetý,datlovití,šplhavci
chřástal,vodní,chřástalovití,krátkokřídlí
chřástal,kropenatý,chřástalovití,krátkokřídlí
vodouš,kropenatý,slukovití,bahňáci
křivka,obecná,pěnkavovití,pěvci
skorec,vodní,skorcovití,pěvci
husa,krátkozobá,kachnovití,vrubozobí
strnad,viničný,strnadovití,pěvci
vrána,černá,krkavcovití,pěvci
berneška,velká,kachnovití,vrubozobí
straka,obecná,krkavcovití,pěvci
ostružka,severní,Calcariidae,pěvci
kormorán,malý,kormoránovití,terejové
volavka,bílá,volavkovití,brodiví
linduška,skalní,konipasovití,pěvci
racek,tříprstý,rackovití,dlouhokřídlí
linduška,horská,konipasovití,pěvci
keptuška,stepní,kulíkovití,dlouhokřídlí
sluka,lesní,slukovití,bahňáci
krahujec,obecný,jestřábovití,dravci
dřemlík,tundrový,sokolovití,sokoli
sýkora,koňadra,sýkorovití,pěvci
konipas,bílý,konipasovití,pěvci
pěnkava,obecná,pěnkavovití,pěvci
pěnkava,jikavec,pěnkavovití,pěvci
dlask,tlustozobý,pěnkavovití,pěvci
zvonek,zelený,pěnkavovití,pěvci
konopka,obecná,pěnkavovití,pěvci
stehlík,obecný,pěnkavovití,pěvci
zvonohlík,zahradní,pěnkavovití,pěvci
budníček,pruhohlavý,Sylvioidea,Passerida
čížek,lesní,pěnkavovití,pěvci
kulík,hnědokřídlý,kulíkovití,bahňáci
racek,Sabinův,rackovití,dlouhokřídlí
moudivláček,lužní,moudivláčkovití,pěvci
poštolka,rudonohá,sokolovití,sokoli
sup,bělohlavý,jestřábovití,dravci
vlaštovka,obecná,vlaštovkovití,pěvci
ťuhýk,šedý,ťuhýkovití,pěvci
volavka,stříbřitá,volavkovití,brodiví a pelikáni
rybák,severní,rackovití,dlouhokřídlí
kachnice,kaštanová,kachnovití,vrubozobí
moták,lužní,jestřábovití,dravci
cvrčilka,slavíková,Sylvioidea,Passerida
bukáček,malý,volavkovití,brodiví a pelikáni
hvízdák,americký,kachnovití,vrubozobí
hýl,trubač,pěnkavovití,pěvci
rákosník,velký,Sylvioidea,Passerida
pelikán,bílý,pelikánovití,brodiví a pelikáni
bekasina,větší,slukovití,dlouhokřídlí
koliha,malá,slukovití,dlouhokřídlí
